Productos,CAcopios,Clientes,Tiempo,AC
Queso duro,Guamal,Valledupar,1,0.0
Queso duro,Guamal,Valledupar,2,42900.0
Queso duro,Guamal,Valledupar,3,42600.0
Queso duro,Guamal,Valledupar,4,42600.0
Queso duro,Guamal,Valledupar,5,42600.0
Queso duro,Guamal,Valledupar,6,42600.0
Queso duro,Guamal,Valledupar,7,42600.0
Queso duro,Guamal,Valledupar,8,42600.0
Queso duro,Guamal,Valledupar,9,42600.0
Queso duro,Guamal,Valledupar,10,42600.0
Queso duro,Guamal,Valledupar,11,42600.0
Queso duro,Guamal,Valledupar,12,42600.0
Queso duro,Pivijay,Santa Marta,1,0.0
Queso duro,Pivijay,Santa Marta,2,0.0
Queso duro,Pivijay,Santa Marta,3,0.0
Queso duro,Pivijay,Santa Marta,4,0.0
Queso duro,Pivijay,Santa Marta,5,0.0
Queso duro,Pivijay,Santa Marta,6,0.0
Queso duro,Pivijay,Santa Marta,7,0.0
Queso duro,Pivijay,Santa Marta,8,0.0
Queso duro,Pivijay,Santa Marta,9,0.0
Queso duro,Pivijay,Santa Marta,10,0.0
Queso duro,Pivijay,Santa Marta,11,0.0
Queso duro,Pivijay,Santa Marta,12,0.0
Queso duro,Pivijay,Riohacha,1,0.0
Queso duro,Pivijay,Riohacha,2,0.0
Queso duro,Pivijay,Riohacha,3,0.0
Queso duro,Pivijay,Riohacha,4,0.0
Queso duro,Pivijay,Riohacha,5,0.0
Queso duro,Pivijay,Riohacha,6,0.0
Queso duro,Pivijay,Riohacha,7,0.0
Queso duro,Pivijay,Riohacha,8,0.0
Queso duro,Pivijay,Riohacha,9,0.0
Queso duro,Pivijay,Riohacha,10,0.0
Queso duro,Pivijay,Riohacha,11,0.0
Queso duro,Pivijay,Riohacha,12,0.0
Queso duro,Pivijay,Monteria,1,0.0
Queso duro,Pivijay,Monteria,2,0.0
Queso duro,Pivijay,Monteria,3,0.0
Queso duro,Pivijay,Monteria,4,0.0
Queso duro,Pivijay,Monteria,5,0.0
Queso duro,Pivijay,Monteria,6,0.0
Queso duro,Pivijay,Monteria,7,0.0
Queso duro,Pivijay,Monteria,8,0.0
Queso duro,Pivijay,Monteria,9,0.0
Queso duro,Pivijay,Monteria,10,0.0
Queso duro,Pivijay,Monteria,11,0.0
Queso duro,Pivijay,Monteria,12,0.0
Queso duro,Pivijay,Barranquilla,1,0.0
Queso duro,Pivijay,Barranquilla,2,0.0
Queso duro,Pivijay,Barranquilla,3,0.0
Queso duro,Pivijay,Barranquilla,4,0.0
Queso duro,Pivijay,Barranquilla,5,0.0
Queso duro,Pivijay,Barranquilla,6,0.0
Queso duro,Pivijay,Barranquilla,7,0.0
Queso duro,Pivijay,Barranquilla,8,0.0
Queso duro,Pivijay,Barranquilla,9,0.0
Queso duro,Pivijay,Barranquilla,10,0.0
Queso duro,Pivijay,Barranquilla,11,0.0
Queso duro,Pivijay,Barranquilla,12,0.0
Queso duro,Pivijay,Bogotá,1,0.0
Queso duro,Pivijay,Bogotá,2,0.0
Queso duro,Pivijay,Bogotá,3,0.0
Queso duro,Pivijay,Bogotá,4,0.0
Queso duro,Pivijay,Bogotá,5,0.0
Queso duro,Pivijay,Bogotá,6,0.0
Queso duro,Pivijay,Bogotá,7,0.0
Queso duro,Pivijay,Bogotá,8,0.0
Queso duro,Pivijay,Bogotá,9,0.0
Queso duro,Pivijay,Bogotá,10,0.0
Queso duro,Pivijay,Bogotá,11,0.0
Queso duro,Pivijay,Bogotá,12,0.0
Queso duro,Pivijay,Bucaramanga,1,0.0
Queso duro,Pivijay,Bucaramanga,2,0.0
Queso duro,Pivijay,Bucaramanga,3,0.0
Queso duro,Pivijay,Bucaramanga,4,0.0
Queso duro,Pivijay,Bucaramanga,5,0.0
Queso duro,Pivijay,Bucaramanga,6,0.0
Queso duro,Pivijay,Bucaramanga,7,0.0
Queso duro,Pivijay,Bucaramanga,8,0.0
Queso duro,Pivijay,Bucaramanga,9,0.0
Queso duro,Pivijay,Bucaramanga,10,0.0
Queso duro,Pivijay,Bucaramanga,11,0.0
Queso duro,Pivijay,Bucaramanga,12,0.0
Queso duro,Pivijay,Cartagena,1,0.0
Queso duro,Pivijay,Cartagena,2,0.0
Queso duro,Pivijay,Cartagena,3,0.0
Queso duro,Pivijay,Cartagena,4,0.0
Queso duro,Pivijay,Cartagena,5,0.0
Queso duro,Pivijay,Cartagena,6,0.0
Queso duro,Pivijay,Cartagena,7,0.0
Queso duro,Pivijay,Cartagena,8,0.0
Queso duro,Pivijay,Cartagena,9,0.0
Queso duro,Pivijay,Cartagena,10,0.0
Queso duro,Pivijay,Cartagena,11,0.0
Queso duro,Pivijay,Cartagena,12,0.0
Queso duro,Pivijay,Cali,1,0.0
Queso duro,Pivijay,Cali,2,0.0
Queso duro,Pivijay,Cali,3,0.0
Queso duro,Pivijay,Cali,4,0.0
Queso duro,Pivijay,Cali,5,0.0
Queso duro,Pivijay,Cali,6,0.0
Queso duro,Pivijay,Cali,7,0.0
Queso duro,Pivijay,Cali,8,0.0
Queso duro,Pivijay,Cali,9,0.0
Queso duro,Pivijay,Cali,10,0.0
Queso duro,Pivijay,Cali,11,0.0
Queso duro,Pivijay,Cali,12,0.0
Queso duro,Pivijay,Cúcuta,1,0.0
Queso duro,Pivijay,Cúcuta,2,0.0
Queso duro,Pivijay,Cúcuta,3,0.0
Queso duro,Pivijay,Cúcuta,4,0.0
Queso duro,Pivijay,Cúcuta,5,0.0
Queso duro,Pivijay,Cúcuta,6,0.0
Queso duro,Pivijay,Cúcuta,7,0.0
Queso duro,Pivijay,Cúcuta,8,0.0
Queso duro,Pivijay,Cúcuta,9,0.0
Queso duro,Pivijay,Cúcuta,10,0.0
Queso duro,Pivijay,Cúcuta,11,0.0
Queso duro,Pivijay,Cúcuta,12,0.0
Queso duro,Pivijay,Medellín,1,0.0
Queso duro,Pivijay,Medellín,2,0.0
Queso duro,Pivijay,Medellín,3,0.0
Queso duro,Pivijay,Medellín,4,0.0
Queso duro,Pivijay,Medellín,5,0.0
Queso duro,Pivijay,Medellín,6,0.0
Queso duro,Pivijay,Medellín,7,0.0
Queso duro,Pivijay,Medellín,8,0.0
Queso duro,Pivijay,Medellín,9,0.0
Queso duro,Pivijay,Medellín,10,0.0
Queso duro,Pivijay,Medellín,11,0.0
Queso duro,Pivijay,Medellín,12,0.0
Queso duro,Pivijay,Valledupar,1,0.0
Queso duro,Pivijay,Valledupar,2,0.0
Queso duro,Pivijay,Valledupar,3,0.0
Queso duro,Pivijay,Valledupar,4,0.0
Queso duro,Pivijay,Valledupar,5,0.0
Queso duro,Pivijay,Valledupar,6,0.0
Queso duro,Pivijay,Valledupar,7,0.0
Queso duro,Pivijay,Valledupar,8,0.0
Queso duro,Pivijay,Valledupar,9,0.0
Queso duro,Pivijay,Valledupar,10,0.0
Queso duro,Pivijay,Valledupar,11,0.0
Queso duro,Pivijay,Valledupar,12,0.0
Queso duro,Nueva granada,Santa Marta,1,0.0
Queso duro,Nueva granada,Santa Marta,2,0.0
Queso duro,Nueva granada,Santa Marta,3,0.0
Queso duro,Nueva granada,Santa Marta,4,0.0
Queso duro,Nueva granada,Santa Marta,5,0.0
Queso duro,Nueva granada,Santa Marta,6,0.0
Queso duro,Nueva granada,Santa Marta,7,0.0
Queso duro,Nueva granada,Santa Marta,8,0.0
Queso duro,Nueva granada,Santa Marta,9,0.0
Queso duro,Nueva granada,Santa Marta,10,0.0
Queso duro,Nueva granada,Santa Marta,11,0.0
Queso duro,Nueva granada,Santa Marta,12,0.0
Queso duro,Nueva granada,Riohacha,1,0.0
Queso duro,Nueva granada,Riohacha,2,0.0
Queso duro,Nueva granada,Riohacha,3,0.0
Queso duro,Nueva granada,Riohacha,4,0.0
Queso duro,Nueva granada,Riohacha,5,0.0
Queso duro,Nueva granada,Riohacha,6,0.0
Queso duro,Nueva granada,Riohacha,7,0.0
Queso duro,Nueva granada,Riohacha,8,0.0
Queso duro,Nueva granada,Riohacha,9,0.0
Queso duro,Nueva granada,Riohacha,10,0.0
Queso duro,Nueva granada,Riohacha,11,0.0
Queso duro,Nueva granada,Riohacha,12,0.0
Queso duro,Nueva granada,Monteria,1,0.0
Queso duro,Nueva granada,Monteria,2,0.0
Queso duro,Nueva granada,Monteria,3,0.0
Queso duro,Nueva granada,Monteria,4,0.0
Queso duro,Nueva granada,Monteria,5,0.0
Queso duro,Nueva granada,Monteria,6,0.0
Queso duro,Nueva granada,Monteria,7,0.0
Queso duro,Nueva granada,Monteria,8,0.0
Queso duro,Nueva granada,Monteria,9,0.0
Queso duro,Nueva granada,Monteria,10,0.0
Queso duro,Nueva granada,Monteria,11,0.0
Queso duro,Nueva granada,Monteria,12,0.0
Queso duro,Nueva granada,Barranquilla,1,0.0
Queso duro,Nueva granada,Barranquilla,2,0.0
Queso duro,Nueva granada,Barranquilla,3,0.0
Queso duro,Nueva granada,Barranquilla,4,0.0
Queso duro,Nueva granada,Barranquilla,5,0.0
Queso duro,Nueva granada,Barranquilla,6,0.0
Queso duro,Nueva granada,Barranquilla,7,0.0
