Distribution,Parameters,KS_pvalue,Mean,StdDev,Skewness,Kurtosis
norm,"(0.7726968884468078, 0.16756851981019272)",0.07566183854168151,0.7726968884468078,0.16756851981019272,0.23411182750218132,1.7322519754199903
expon,"(0.3917627334594726, 0.38093415498733524)",3.3218405198180174e-10,0.7726968884468078,0.16756851981019272,0.23411182750218132,1.7322519754199903
lognorm,"(0.04166871871330566, -3.2427423269928752, 4.011953221603733)",0.09794080194660859,0.7726968884468078,0.16756851981019272,0.23411182750218132,1.7322519754199903
weibull_min,"(3.177885592467742, 0.2712306877750973, 0.5576561712883126)",0.05764519978281346,0.7726968884468078,0.16756851981019272,0.23411182750218132,1.7322519754199903
gamma,"(242.32150254601754, -1.834309668044133, 0.010758599946143615)",0.09736693319804779,0.7726968884468078,0.16756851981019272,0.23411182750218132,1.7322519754199903
erlang,"(241.5398787878134, -1.8297860170707887, 0.010774801981350793)",0.09724063901607782,0.7726968884468078,0.16756851981019272,0.23411182750218132,1.7322519754199903
