P;I;T;CostoProduccion
2;6;7;18461
2;6;8;18659
2;6;9;18938
2;6;10;19209
2;6;11;19456
2;6;12;19942
2;7;1;18248
2;7;2;18278
2;7;3;18527
2;7;4;18701
2;7;5;18575
2;7;6;18575
2;7;7;18461
2;7;8;18659
2;7;9;18938
2;7;10;19209
2;7;11;19456
2;7;12;19942
2;8;1;18248
2;8;2;18278
2;8;3;18527
2;8;4;18701
2;8;5;18575
2;8;6;18575
2;8;7;18461
2;8;8;18659
2;8;9;18938
2;8;10;19209
2;8;11;19456
2;8;12;19942
2;9;1;18248
2;9;2;18278
2;9;3;18527
2;9;4;18701
2;9;5;18575
2;9;6;18575
2;9;7;18461
2;9;8;18659
2;9;9;18938
2;9;10;19209
2;9;11;19456
2;9;12;19942
2;10;1;18344
2;10;2;18403
2;10;3;18632
2;10;4;18679
2;10;5;18767
2;10;6;18722
2;10;7;18747
2;10;8;18733
2;10;9;18929
2;10;10;19281
2;10;11;19725
2;10;12;20097
2;11;1;18344
2;11;2;18403
2;11;3;18632
2;11;4;18679
2;11;5;18767
2;11;6;18722
2;11;7;18747
2;11;8;18733
2;11;9;18929
2;11;10;19281
2;11;11;19725
2;11;12;20097
2;12;1;18344
2;12;2;18403
2;12;3;18632
2;12;4;18679
2;12;5;18767
2;12;6;18722
2;12;7;18747
2;12;8;18733
2;12;9;18929
2;12;10;19281
2;12;11;19725
2;12;12;20097
2;13;1;18344
2;13;2;18403
2;13;3;18632
2;13;4;18679
2;13;5;18767
2;13;6;18722
2;13;7;18747
2;13;8;18733
2;13;9;18929
2;13;10;19281
2;13;11;19725
2;13;12;20097
2;14;1;18344
2;14;2;18403
2;14;3;18632
2;14;4;18679
2;14;5;18767
2;14;6;18722
2;14;7;18747
2;14;8;18733
2;14;9;18929
2;14;10;19281
2;14;11;19725
2;14;12;20097
2;15;1;18344
2;15;2;18403
2;15;3;18632
2;15;4;18679
2;15;5;18767
2;15;6;18722
2;15;7;18747
2;15;8;18733
2;15;9;18929
2;15;10;19281
2;15;11;19725
2;15;12;20097
2;16;1;18344
2;16;2;18403
